,Date_Reported,EventID,CaseID,Offense_Category,Offense_Description,Initial_Incident_Category,Initial_Incident_Description,Final_Incident_Category,Final_Incident_Description,Date_From,Date_To,Location,Location_Type,Disposition
288,2024-01-27 00:29,24-01-27-028514,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-27 00:29,2024-01-27 00:29,23RD ST & ELLENDALE PL,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
289,2024-01-27 00:19,24-01-27-028506,2400401,SERVICE,Welfare Check,ADMINISTRATIVE,Camera Observation,SERVICE,Welfare Check,2024-01-27 00:19,2024-01-27 00:19,32ND ST & HOOVER ST,Public property,CLOSED
290,2024-01-27 00:08,24-01-27-028497,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-27 00:08,2024-01-27 00:08,2600 Block Of  MENLO AV,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
291,2024-01-27 00:05,24-01-27-028490,2400402,ALCOHOL,Alcohol Overdose,ALCOHOL,Alcohol Overdose,ALCOHOL,Alcohol Overdose,2024-01-27 00:05,2024-01-27 00:05,22ND ST & ELLENDALE PL,Non-reportable location,Inactive Investigation
292,2024-01-26 23:44,24-01-26-028470,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-26 23:44,2024-01-26 23:44,1200 Block Of,Non-reportable location,ADVISED & COMPLIED
293,2024-01-26 23:34,24-01-26-028460,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-26 23:34,2024-01-26 23:34,ROYAL STREET STRUCTURE,On Campus,ADVISED & COMPLIED
294,2024-01-26 22:19,24-01-26-028393,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-26 22:19,2024-01-26 22:19,OUTSIDE USC AREA,Non-reportable location,LAPD ON SCENE & WILL HANDLE
295,2024-01-26 22:19,24-01-26-028391,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-26 22:19,2024-01-26 22:19,900 Block Of  28TH ST,Non-campus building or property,ADVISED & COMPLIED
296,2024-01-26 20:48,24-01-26-028301,2400399,ROBBERY,Robbery-Fear,ROBBERY,Robbery-Fear,ROBBERY,Robbery-Fear,2024-01-26 20:38,2024-01-26 20:38,2600 Block Of  MENLO AV,Non-reportable location,Open
297,2024-01-26 20:44,24-01-26-028298,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2024-01-26 20:44,2024-01-26 20:44,CHARLOTTE S. & DAVRE R. DAVIDSON CONTINUING EDUCAT,On Campus,ADVISED & COMPLIED
298,2024-01-26 20:42,24-01-26-028300,2400398,TRESPASS,Trespassing,TRESPASS,Trespassing,TRESPASS,Trespassing.1,2024-01-26 18:45,2024-01-26 18:45,UNIVERSITY GATEWAY APARTMENTS,On Campus Residential Facility,Inactive Investigation
299,2024-01-26 20:23,24-01-26-028285,2400397,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-26 11:30,2024-01-26 20:13,HEDCO NEUROSCIENCES BUILDING,On Campus,Inactive Investigation
300,2024-01-26 20:17,24-01-26-028279,,,,FIRE,Fire-Trash,FIRE,Fire-Trash,2024-01-26 20:17,2024-01-26 20:17,32ND ST & SHRINE PL,Non-reportable location,RESOLVED UPON ARRIVAL
301,2024-01-26 20:14,24-01-26-028277,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-26 20:14,2024-01-26 20:14,28TH ST & ORCHARD ST,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
302,2024-01-26 20:02,24-01-26-028276,,,,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,2024-01-26 20:02,2024-01-26 20:02,HYATT HOTEL HOUSE,On Campus,LAPD ON SCENE & WILL HANDLE
303,2024-01-26 18:55,24-01-26-028253,2400395,SERVICE,Injury Response,SERVICE,Injury Response,SERVICE,Injury Response,2024-01-26 18:45,2024-01-26 18:50,OUTSIDE USC AREA,Non-reportable location,CLOSED
304,2024-01-26 18:48,24-01-26-028232,2400396,ROBBERY,Robbery-Strong - Arm,ROBBERY,Robbery-Strong - Arm,ROBBERY,Robbery-Strong - Arm,2024-01-26 18:45,2024-01-26 18:48,2800 Block Of  FIGUEROA ST,Non-reportable location,Cleared Arrest
305,2024-01-26 17:45,24-01-26-028182,2400394,SERVICE,Incident Report - No Crime,BURGLARY,Burglary-Hot Prowl,SERVICE,Incident Report - No Crime,2024-01-26 17:45,2024-01-26 17:45,2600 Block Of  MONMOUTH AV,Non-reportable location,Inactive Investigation
306,2024-01-26 17:37,24-01-26-028175,2400393,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-26 17:37,2024-01-26 17:37,THOMAS & DOROTHY LEAVEY LIBRARY,On Campus,Inactive Investigation
307,2024-01-26 17:32,24-01-26-028167,,,,DISORDERLY CONDUCT,Animal Cruelty,DISORDERLY CONDUCT,Animal Cruelty,2024-01-26 17:32,2024-01-26 17:32,KECK HOSPITAL PARKING BLDG.,On Campus,REQUEST COMPLETED
308,2024-01-26 17:06,24-01-26-028140,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2024-01-26 17:06,2024-01-26 17:06,KATHERINE B. LOKER TRACK STADIUM,On Campus,REQUEST COMPLETED
309,2024-01-26 16:53,24-01-26-028131,2400392,VEHICLE CODE,Hit & Run,VEHICLE CODE,Hit & Run  Misdemeanor,VEHICLE CODE,Hit & Run Misdemeanor,2024-01-26 11:50,2024-01-26 11:55,3200 Block Of  ROYAL ST,Non-reportable location,Inactive Investigation
310,2024-01-26 16:41,24-01-26-028117,2400391,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,2024-01-26 16:41,2024-01-26 16:41,MICHELSON CENTER FOR CONVERGENT BIOSCIENCE,On Campus,CLOSED
311,2024-01-26 16:29,24-01-26-028109,2400390,THEFT-PETTY,Shoplifting,THEFT-PETTY,Shoplifting,THEFT-PETTY,Shoplifting,2024-01-26 16:29,2024-01-26 16:29,PERTUSATI UNIVERSITY BOOKSTORE,On Campus,Inactive Investigation
312,2024-01-26 16:20,24-01-26-028082,2400400,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-26 14:00,2024-01-26 16:00,JILL & FRANK FERTITTA HALL,On Campus,Inactive Investigation
313,2024-01-26 16:19,24-01-26-028100,2400389,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2024-01-26 15:00,2024-01-26 16:00,RONALD TUTOR CAMPUS CENTER,On Campus,Inactive Investigation
314,2024-01-26 15:02,24-01-26-028039,2400388,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2024-01-26 13:55,2024-01-26 14:02,GENERAL WILLIAM LYON UNIVERSITY CENTER,On Campus,Inactive Investigation
315,2024-01-26 14:54,24-01-26-028027,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2024-01-26 14:54,2024-01-26 14:54,HERITAGE HALL,On Campus,REQUEST COMPLETED
316,2024-01-26 14:04,24-01-26-027977,2400387,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-25 16:00,2024-01-26 13:50,2700 Block Of  ELLENDALE PL,Non-reportable location,Inactive Investigation
317,2024-01-26 13:54,24-01-26-027963,2400386,SERVICE,Illness Response,SERVICE,Illness Response,SERVICE,Illness Response,2024-01-26 13:54,2024-01-26 13:54,SCHOOL OF CINEMATIC ARTS- BLDG. E,On Campus,CLOSED
318,2024-01-26 13:12,24-01-26-027924,,,,FIRE,Fire-Trash,FIRE,Fire-Trash,2024-01-26 13:12,2024-01-26 13:12,35TH ST & HOPE ST,Non-reportable location,LAFD RESPONDING & WILL HANDLE
319,2024-01-26 12:21,24-01-26-027872,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-26 12:21,2024-01-26 12:21,CARDINAL GARDENS,On Campus Residential Facility,CANCELLED EVENT
320,2024-01-26 11:24,24-01-26-027837,2400384,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard.1,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard.2,2024-01-25 22:00,2024-01-26 05:00,1200 Block Of  37TH DR,Non-reportable location,Inactive Investigation
321,2024-01-26 11:08,24-01-26-027823,2400385,TRAFFIC,Traffic Collision Without Injuries // VANDALISM,SERVICE,Incident Report - No Crime,VANDALISM,Vandalism,2024-01-26 11:00,2024-01-26 11:05,ADAMS BL & VERMONT AV,Non-reportable location,Inactive Investigation
322,2024-01-26 10:51,24-01-26-027807,2400381,SERVICE,Incident Report - No Crime,WEAPONS,Brandishing A Weapon Or Firearm,SERVICE,Incident Report - No Crime,2024-01-26 10:50,2024-01-26 10:50,JEFFERSON BL & FIGUEROA ST,Public property,Inactive Investigation
323,2024-01-26 10:23,24-01-26-027781,2400383,TRESPASS,Trespassing,OBSERVATIONS,Unhoused Activity,TRESPASS,Trespassing,2024-01-26 10:23,2024-01-26 10:23,3100 Block Of  FIGUEROA ST,Non-campus building or property,Inactive Investigation
324,2024-01-26 10:21,24-01-26-027779,2400382,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-26 09:45,2024-01-26 09:47,JAMES H. ZUMBERGE HALL OF SCIENCE,On Campus,Inactive Investigation
325,2024-01-26 09:50,24-01-26-027755,2400380,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,2024-01-26 09:50,2024-01-26 09:50,PHYSICAL EDUCATION BUILDING,On Campus,CLOSED
326,2024-01-26 08:52,24-01-26-027706,,,,THEFT-PETTY,Theft Petty - Plain-Attempt,DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-26 08:52,2024-01-26 08:52,HERITAGE HALL,On Campus,REQUEST COMPLETED
327,2024-01-26 08:45,24-01-26-027701,,,,OBSCENE ACTIVITY,Indecent Exposure,OBSCENE ACTIVITY,Indecent Exposure,2024-01-26 08:45,2024-01-26 08:45,JEFFERSON BL & FIGUEROA ST,Public property,REQUEST COMPLETED
328,2024-01-26 08:43,24-01-26-027693,,,,OBSCENE ACTIVITY,Indecent Exposure,OBSCENE ACTIVITY,Indecent Exposure,2024-01-26 08:43,2024-01-26 08:43,JEFFERSON BL & FIGUEROA ST,Public property,CANCELLED EVENT
329,2024-01-26 08:15,24-01-26-027674,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-26 08:15,2024-01-26 08:15,MCCARTHY WAY ENTRANCE,On Campus,REQUEST COMPLETED
330,2024-01-26 05:05,24-01-26-027559,2400379,DOMESTIC VIOLENCE,Dating Violence,OFFICER STATUS,Special Detail,DOMESTIC VIOLENCE,Dating Violence,2024-01-26 04:30,2024-01-26 04:30,3800 Block Of  FIGUEROA ST,Non-reportable location,Open
331,2024-01-26 00:09,24-01-26-027370,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-26 00:09,2024-01-26 00:09,1100 Block Of  37TH PL,Non-reportable location,REQUEST COMPLETED
332,2024-01-25 21:24,24-01-25-027219,2400378,ALCOHOL,Drunk In Public,ALCOHOL,Drunk In Public,ALCOHOL,Drunk In Public,2024-01-25 21:20,2024-01-25 21:24,THE LAB,On Campus,Open
333,2024-01-25 21:10,24-01-25-027206,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-25 21:10,2024-01-25 21:10,1100 Block Of  27TH ST,Non-reportable location,ADVISED & COMPLIED
334,2024-01-25 20:55,24-01-25-027197,2400376,ASSAULT,Assault-Knife or Cutting Instrument // CRIMINAL THREATS,WEAPONS,Brandishing A Weapon Or Firearm,DISORDERLY CONDUCT,Interfering/Resisting Arrest,2024-01-25 20:55,2024-01-25 20:55,36TH PL & VERMONT AV,Public property,Cleared Arrest
335,2024-01-25 20:51,24-01-25-027196,2400375,SERVICE,Injury Response,SERVICE,Incident Report - No Crime,SERVICE,Injury Response,2024-01-25 20:51,2024-01-25 20:51,1200 Block Of  37TH PL,Non-reportable location,CLOSED
336,2024-01-25 20:27,24-01-25-027183,2400377,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,2024-01-25 20:25,2024-01-25 20:27,29TH ST & MENLO AV,Non-reportable location,CLOSED
337,2024-01-25 20:07,24-01-25-027160,,,,DISORDERLY CONDUCT,Panhandling,DISORDERLY CONDUCT,Panhandling,2024-01-25 20:07,2024-01-25 20:07,DULCE,On Campus,ADVISED & COMPLIED
338,2024-01-25 18:04,24-01-25-027042,2400374,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,2024-01-24 13:50,2024-01-24 20:30,FRANK R. SEAVER SCIENCE CENTER,On Campus,Investigation Continued
339,2024-01-25 17:34,24-01-25-027003,2400373,PROPERTY,Lost/Missing Property,MOTOR VEHICLE THEFT,Attempt Theft-Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-25 17:34,2024-01-25 17:34,SCHOOL OF CINEMATIC ARTS,On Campus,Inactive Investigation
340,2024-01-25 16:36,24-01-25-026908,2400371,SEX OFFENSE,Sexual Battery,SEX OFFENSE,Sexual Battery,SEX OFFENSE,Sexual Battery,2024-01-25 16:34,2024-01-25 16:36,JEFFERSON BL & HOOVER ST,Public property,Open
341,2024-01-25 15:58,24-01-25-026867,2400372,DISORDERLY CONDUCT,"Prowling, Loitering",OFFICER STATUS,Out for Investigation-Flag Down,DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-25 15:58,2024-01-25 15:58,SEELEY WINTERSMITH MUDD MEMORIAL HALL OF PHILOSOPH,On Campus,Inactive Investigation
342,2024-01-25 15:29,24-01-25-026821,2400370,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,2024-01-25 15:29,2024-01-25 15:29,ROGER AND MICHELE DEDEAUX ENGEMANN STUDENT HEALTH CENTER,On Campus,CLOSED
343,2024-01-25 15:06,24-01-25-026795,2400368,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,2024-01-25 15:06,2024-01-25 15:06,ETHEL PERCY ANDRUS GERONTOLOGY CENTER,On Campus,CLOSED
344,2024-01-25 14:35,24-01-25-026751,2400369,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2024-01-25 12:26,2024-01-25 13:14,700 Block Of  28TH ST,Non-reportable location,Inactive Investigation
345,2024-01-25 14:33,24-01-25-026748,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-25 14:33,2024-01-25 14:33,2600 Block Of  PORTLAND ST,Non-campus building or property,ADVISED & COMPLIED
346,2024-01-25 13:20,24-01-25-026645,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-25 13:20,2024-01-25 13:20,MCCARTHY WAY STRUCTURE,On Campus,UNABLE TO LOCATE - GONE ON ARRIVAL
347,2024-01-25 09:35,24-01-25-026375,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2024-01-25 09:35,2024-01-25 09:35,USC HOTEL,On Campus Residential Facility,RESOLVED UPON ARRIVAL
348,2024-01-25 07:26,24-01-25-026262,2400367,SERVICE,Illness Response,SERVICE,Illness Response,SERVICE,Illness Response,2024-01-25 07:26,2024-01-25 07:26,3400 Block Of  GRAND AV,Non-campus building or property,CLOSED
349,2024-01-25 06:38,24-01-25-026219,2400366,FIRE,Alarm Activation,FIRE,Alarm Activation,FIRE,Alarm Activation,2024-01-25 06:38,2024-01-25 06:38,LAIRD J. STABLER MEMORIAL HALL,On Campus,Open
350,2024-01-25 01:19,24-01-25-026069,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-25 01:19,2024-01-25 01:19,1200 Block Of  ADAMS BL,Non-reportable location,ADVISED & COMPLIED
351,2024-01-24 22:45,24-01-24-025940,2400365,SERVICE,Welfare Check,SERVICE,Welfare Check,SERVICE,Welfare Check,2024-01-24 22:45,2024-01-24 22:45,MCCARTHY WAY ENTRANCE,On Campus,CLOSED
352,2024-01-24 22:24,24-01-24-025920,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-24 22:24,2024-01-24 22:24,2700 Block Of  ELLENDALE PL,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
353,2024-01-24 21:53,24-01-24-025893,2400364,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle,THEFT-PETTY,Theft Bicycle.1,2024-01-24 18:35,2024-01-24 21:30,3000 Block Of  SHRINE PL,Non-reportable location,Inactive Investigation
354,2024-01-24 16:30,24-01-24-025564,2400363,FIRE,Alarm Activation,FIRE,Alarm Activation,FIRE,Alarm Activation,2024-01-24 16:30,2024-01-24 16:30,3000 Block Of  FLOWER ST,Non-campus building or property,CLOSED
355,2024-01-24 16:20,24-01-24-025546,2400362,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,PROPERTY,Recovered/Impounded Bicycle/Scooter,2024-01-24 16:20,2024-01-24 16:20,WAITE PHILLIPS HALL OF EDUCATION,On Campus,CLOSED
356,2024-01-24 16:16,24-01-24-025545,2400361,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,2024-01-17 22:00,2024-01-18 00:00,2900 Block Of  FIGUEROA ST,Non-reportable location,Inactive Investigation
357,2024-01-24 13:55,24-01-24-025387,2400359,BATTERY,Battery,BATTERY,Battery,BATTERY,Battery,2024-01-24 13:52,2024-01-24 13:52,USC HOTEL,On Campus Residential Facility,Cleared Arrest
358,2024-01-24 13:44,24-01-24-025386,2400360,BURGLARY,Burglary - Commercial,THEFT-GRAND,Theft Grand-Plain,BURGLARY,Burglary - Commercial,2023-12-05 14:00,2024-01-24 09:00,3100 Block Of  FIGUEROA ST,Non-campus building or property,Open
359,2024-01-24 11:11,24-01-24-025203,2400358,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,2024-01-24 10:45,2024-01-24 10:45,MCCARTHY QUAD,On Campus,CLOSED
360,2024-01-24 10:54,24-01-24-025192,2400357,ASSAULT,Assault-Other Dangerous Weapon,BATTERY,Battery,ASSAULT,Assault-Other Dangerous Weapon,2024-01-13 13:30,2024-01-13 13:30,29TH ST & FIGUEROA ST,Non-reportable location,Open
361,2024-01-24 10:10,24-01-24-025151,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-24 10:10,2024-01-24 10:10,PHYSICAL EDUCATION BUILDING,On Campus,UNABLE TO LOCATE - GONE ON ARRIVAL
362,2024-01-24 09:47,24-01-24-025131,2400356,SERVICE,Illness Response,SERVICE,Illness Response,SERVICE,Illness Response,2024-01-24 09:47,2024-01-24 09:47,EILEEN & KENNETH T. NORRIS DENTAL SCIENCE CENTER,On Campus,CLOSED
363,2024-01-24 08:57,24-01-24-025111,2400355,SERVICE,Commitment To Mental Health For 72 Hrs,SERVICE,Welfare Check,SERVICE,Commitment To Mental Health For 72 Hrs,2024-01-24 08:57,2024-01-24 08:57,1200 Block Of  37TH PL,Non-reportable location,Open
364,2024-01-24 08:53,24-01-24-025100,,,,MOTOR VEHICLE THEFT,Grand Theft Auto,SERVICE,Incident Report - No Crime,2024-01-24 08:53,2024-01-24 08:53,1100 Block Of  29TH ST,Non-campus building or property,NO CRIME OCCURRED; NO REPORT TAKEN
365,2024-01-24 08:38,24-01-24-025086,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-24 08:38,2024-01-24 08:38,DOWNEY WY & MCCLINTOCK AV,On Campus,CANCELLED EVENT
366,2024-01-24 08:35,24-01-24-025083,,,,DISTURBANCE,Disturbing The Peace,DISTURBANCE,Disturbing The Peace,2024-01-24 08:35,2024-01-24 08:35,GENERAL WILLIAM LYON UNIVERSITY CENTER,On Campus,RESOLVED UPON ARRIVAL
367,2024-01-24 08:31,24-01-24-025078,2400353,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,TRAFFIC,Traffic Collision Without Injuries,2024-01-24 08:30,2024-01-24 08:30,DOWNEY WAY STRUCTURE,On Campus,CLOSED
368,2024-01-24 08:28,24-01-24-025076,2400354,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,2024-01-23 22:00,2024-01-24 02:00,KECK HOSPITAL OF USC,On Campus,Open
369,2024-01-24 06:42,24-01-24-024992,2400352,SERVICE,Illness Response,SERVICE,Illness Response,SERVICE,Illness Response,2024-01-24 06:42,2024-01-24 06:42,CECELE & MICHAEL BIRNKRANT RESIDENCE HALL,On Campus Residential Facility,CLOSED
370,2024-01-24 05:42,24-01-24-024951,2400351,FIRE,Alarm Activation,FIRE,Alarm Activation,FIRE,Alarm Activation,2024-01-24 05:42,2024-01-24 05:42,CHARLOTTE S. & DAVRE R. DAVIDSON CONTINUING EDUCAT,On Campus,CLOSED
371,2024-01-24 04:36,24-01-24-024920,2400349,DISORDERLY CONDUCT,"Prowling, Loitering",ADMINISTRATIVE,Camera Observation,DISORDERLY CONDUCT,"Prowling, Loitering",2024-01-24 04:36,2024-01-24 04:36,ADAMS BL & ELLENDALE PL,Non-reportable location,Inactive Investigation
372,2024-01-24 02:04,24-01-24-024845,2400348,SERVICE,Incident Report - No Crime,BATTERY,Battery,SERVICE,Incident Report - No Crime,2024-01-24 02:00,2024-01-24 02:00,UNIVERSITY GATEWAY APARTMENTS,On Campus Residential Facility,Inactive Investigation
373,2024-01-24 01:30,24-01-24-024820,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-24 01:30,2024-01-24 01:30,1100 Block Of  37TH ST,Non-reportable location,ADVISED & COMPLIED
374,2024-01-24 01:16,24-01-24-024810,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-01-24 01:16,2024-01-24 01:16,1100 Block Of  37TH ST,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
375,2024-01-24 00:47,24-01-24-024790,2400347,SERVICE,Incident Report - No Crime,INCIDENT,Dispute,SERVICE,Incident Report - No Crime.1,2024-01-24 00:25,2024-01-24 00:25,600 Block Of  28TH ST,Non-reportable location,Inactive Investigation
376,2024-01-24 00:10,24-01-24-024760,2400346,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-23 20:00,2024-01-24 00:00,THOMAS & DOROTHY LEAVEY LIBRARY,On Campus,Inactive Investigation
377,2024-01-23 23:09,24-01-23-024715,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2024-01-23 23:09,2024-01-23 23:09,ROYAL STREET STRUCTURE,On Campus,ADVISED & COMPLIED
378,2024-01-23 22:42,24-01-23-024696,2400345,ASSAULT,Assault-Other Dangerous Weapon,ASSAULT,Assault-Other Dangerous Weapon,ASSAULT,Assault-Other Dangerous Weapon,2024-01-23 22:35,2024-01-23 22:42,30TH ST & HOOVER ST,Public property,Inactive Investigation
379,2024-01-23 22:11,24-01-23-024655,2400343,SERVICE,Incident Report - No Crime,OFFICER STATUS,Stakeout,SERVICE,Incident Report - No Crime,2024-01-23 22:11,2024-01-23 22:11,2600 Block Of  ORCHARD AV,Non-reportable location,Inactive Investigation
380,2024-01-23 20:55,24-01-23-024563,2400344,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-01-23 17:00,2024-01-23 20:30,1200 Block Of  JEFFERSON BL,Non-reportable location,Inactive Investigation
381,2024-01-23 19:32,24-01-23-024518,2400341,MOTOR VEHICLE THEFT,Attempt Grand Theft Auto,MOTOR VEHICLE THEFT,Attempt Grand Theft Auto,MOTOR VEHICLE THEFT,Attempt Grand Theft Auto,2024-01-21 19:30,2024-01-23 18:00,3600 Block Of  BUDLONG AV,Non-reportable location,Inactive Investigation
382,2024-01-23 19:21,24-01-23-024508,2400342,SERVICE,Opening,SERVICE,Opening,SERVICE,Opening,2024-01-23 19:21,2024-01-23 19:21,MAY ORMEROD HARRIS RESIDENCE HALL,On Campus Residential Facility,CLOSED
383,2024-01-23 18:44,24-01-23-024474,2400339,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,PROPERTY,Lost/Missing Property,2024-01-22 17:00,2024-01-22 19:00,OUTSIDE USC AREA,Non-reportable location,CLOSED
384,2024-01-23 17:59,24-01-23-024421,2400338,TRAFFIC,Traffic Collision - Bicycle,TRAFFIC,Traffic Collision Without Injuries,SERVICE,Incident Report - No Crime,2024-01-23 17:48,2024-01-23 17:48,UNIVERSITY VILLAGE ONE,On Campus Residential Facility,CLOSED
385,2024-01-23 17:54,24-01-23-024412,2400340,BATTERY,Battery,INCIDENT,Dispute,BATTERY,Battery,2024-01-23 17:50,2024-01-23 17:50,1200 Block Of  JEFFERSON BL,Non-reportable location,Open
386,2024-01-23 15:41,24-01-23-024254,,,,OFFICER STATUS,Out for Investigation,THEFT-GRAND,Receiving Stolen Property,2024-01-23 15:41,2024-01-23 15:41,28TH ST & UNIVERSITY AV,Non-reportable location,FIELD INTERVIEW & RELEASE
